record_status,connector_id,pin,signal,source,destination,wire_label,wire_color,wire_size,connector_part,fuse_id,fuse_rating,continuity_ohms,insulation_result,verified_by,verified_date,notes
PENDING,J6-M,1,Coil_A_1,J6_motor,Octopus_MOTOR5_A1,J6-M-A1,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Polarity assigned only after isolated direction test
PENDING,J6-M,2,Coil_A_2,J6_motor,Octopus_MOTOR5_A2,J6-M-A2,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Pair must be found by resistance
PENDING,J6-M,3,Coil_B_1,J6_motor,Octopus_MOTOR5_B1,J6-M-B1,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Pair must be found by resistance
PENDING,J6-M,4,Coil_B_2,J6_motor,Octopus_MOTOR5_B2,J6-M-B2,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Polarity assigned only after isolated direction test
PENDING,J5-M,1-4,Two_coil_pairs,J5_motor,Octopus_MOTOR4,J5-M,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Expand to one row per pin after connector selection
PENDING,J4-M,1-4,Two_coil_pairs,J4_motor,Octopus_MOTOR3,J4-M,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Expand to one row per pin after connector selection
PENDING,J3-M,1-4,Two_coil_pairs,J3_motor,Octopus_MOTOR2,J3-M,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Expand to one row per pin after connector selection
PENDING,J2-H,1,Switch_COM,J2_switch,Octopus_STOP1_GND,J2-H-COM,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Verify NC truth table
PENDING,J2-H,2,Switch_NC,J2_switch,Octopus_STOP1_PG9,J2-H-NC,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,5V pin left unused
PENDING,J3-H,1,Switch_COM,J3_switch,Octopus_STOP2_GND,J3-H-COM,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Verify NC truth table
PENDING,J3-H,2,Switch_NC,J3_switch,Octopus_STOP2_PG10,J3-H-NC,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,5V pin left unused
PENDING,J5-H,1,Switch_COM,J5_switch,Octopus_STOP4_GND,J5-H-COM,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Verify NC truth table
PENDING,J5-H,2,Switch_NC,J5_switch,Octopus_STOP4_PG12,J5-H-NC,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,5V pin left unused
PENDING,J1-H,1-3,NPN_sensor,J1_sensor,Optocoupler_CH1,J1-H,UNASSIGNED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by HV-04
PENDING,J4-H,1-3,NPN_sensor,J4_sensor,Optocoupler_CH2,J4-H,UNASSIGNED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by HV-04
PENDING,J6-H,1-3,NPN_sensor,J6_sensor,Optocoupler_CH3,J6-H,UNASSIGNED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by HV-04
PENDING,J1-P,1-2,Switched_24V_and_0V,Actuator_bus,J1_Servo42C,J1-P,UNASSIGNED,UNVERIFIED,UNVERIFIED,J1-F,UNVERIFIED,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by HV-02 and HV-07
PENDING,J2-P,1-2,Switched_24V_and_0V,Actuator_bus,J2_Servo42C,J2-P,UNASSIGNED,UNVERIFIED,UNVERIFIED,J2-F,UNVERIFIED,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by HV-02 and HV-07
PENDING,J1-C,1-4,COM_STEP_DIR_EN,Octopus_MOTOR0_interface,J1_Servo42C,J1-C,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by exact Servo42C variant
PENDING,J2-C,1-4,COM_STEP_DIR_EN,Octopus_MOTOR1_interface,J2_Servo42C,J2-C,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Blocked by exact Servo42C variant
DEFERRED,ESP-UART,1-3,TX_RX_GND,Octopus_USART2,ESP8266,ESP-UART,UNASSIGNED,UNVERIFIED,UNVERIFIED,N/A,N/A,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Owner selected direct USB on 2026-08-17; leave UART2 and ESP power disconnected
OBSERVED,USB-DATA,USB-C,USB_CDC,Windows_PC,Octopus_USB_C,USB-DATA,N/A,N/A,USB_DATA_CABLE,N/A,N/A,UNMEASURED,UNTESTED,Owner_and_Codex,2026-08-17,Windows enumerated COM4 VID_0483 PID_5740 with bus descriptor OCTOPUS_PRO_V1_1_H723 CDC in FS Mode; installed firmware remains unknown
PENDING,POWER-BUTTON,TBD,POWER_CONTROL,Protected_logic_or_coil_circuit,TBD,POWER-BUTTON,UNASSIGNED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNMEASURED,UNTESTED,UNASSIGNED,UNSET,Owner reports this is the only unfinished wiring; exact terminals and circuit remain unverified
